Id,Locality,House or appartment?,Subtype,Price,Type of sale,Number of rooms,Living area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of terrace,Garden,Area of garden,Land surface,Number of facades,Swimming pool,State of building
10278714,Saint-Gilles,APARTMENT,APARTMENT,199000.0,BUY_REGULAR,2.0,83.0,0,None,0,1,None,None,None,None,4,None,
10297393,Schaerbeek,APARTMENT,APARTMENT,275000.0,BUY_REGULAR,2.0,106.0,1,None,1,None,None,None,None,None,2,0,AS_NEW
10301594,Schaerbeek,HOUSE,HOUSE,650000.0,BUY_REGULAR,5.0,290.0,0,None,0,1,None,1,177,177,2,0,AS_NEW
10289192,Etterbeek,APARTMENT,FLAT_STUDIO,199000.0,BUY_REGULAR,0.0,40.0,0,None,0,1,7,None,None,None,2,None,AS_NEW
10292839,Woluwe-saint-lambert,APARTMENT,TRIPLEX,475000.0,BUY_REGULAR,4.0,145.0,0,None,0,1,33,None,None,None,2,0,GOOD
10287230,Anderlecht,HOUSE,OTHER_PROPERTY,116000.0,BUY_REGULAR,0.0,60.0,0,None,0,None,None,None,None,0,2,0,GOOD
10294981,Uccle,APARTMENT,PENTHOUSE,645000.0,BUY_REGULAR,2.0,160.0,1,None,0,1,13,None,None,None,3,0,AS_NEW
10285071,Koekelberg,APARTMENT,APARTMENT,229000.0,BUY_REGULAR,2.0,65.0,0,None,0,1,15,None,None,None,,None,
10283006,Bruxelles,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,None,None,0,None,None,None,None,None,None,None,None
10276766,SINT-LAMBRECHTS-WOLUWE,HOUSE,HOUSE,599000.0,BUY_REGULAR,6.0,170.0,1,None,0,1,30,1,None,188,2,None,GOOD
10281169,Woluwe-Saint-Pierre,HOUSE,EXCEPTIONAL_PROPERTY,3150000.0,BUY_REGULAR,7.0,600.0,1,None,0,1,2,None,None,1390,4,1,AS_NEW
10299771,Jette,APARTMENT,GROUND_FLOOR,279000.0,BUY_REGULAR,1.0,70.0,0,None,0,1,8,1,100,None,2,0,AS_NEW
10278712,Forest,APARTMENT,LOFT,545000.0,BUY_REGULAR,3.0,170.0,1,None,0,None,None,None,None,,2,0,TO_BE_DONE_UP
10297384,Uccle,APARTMENT,GROUND_FLOOR,199000.0,BUY_REGULAR,1.0,61.0,0,None,0,1,7,None,None,None,,None,
10301591,Sint-Jans-Molenbeek,APARTMENT,APARTMENT,340000.0,BUY_REGULAR,3.0,121.0,None,None,0,1,None,None,None,None,,0,AS_NEW
10289156,Bruxelles,APARTMENT,APARTMENT,475000.0,BUY_REGULAR,2.0,90.0,0,None,0,None,None,None,None,None,2,0,AS_NEW
10292833,Uccle,HOUSE_GROUP,HOUSE_GROUP,,BUY_REGULAR,,,None,None,0,None,None,None,None,None,None,None,None
10287205,Ixelles,APARTMENT,APARTMENT,385000.0,BUY_REGULAR,2.0,108.0,0,None,1,1,2,None,None,None,2,None,
10294931,Molenbeek-Saint-Jean,APARTMENT,APARTMENT,310000.0,BUY_REGULAR,2.0,130.0,1,None,0,1,6,None,None,None,3,0,AS_NEW
10285070,Etterbeek,APARTMENT,FLAT_STUDIO,210000.0,BUY_REGULAR,0.0,40.0,1,None,0,1,6,None,None,None,,None,
10282959,Bruxelles,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,None,None,0,None,None,None,None,None,None,None,None
10276729,Berchem-Sainte-Agathe,APARTMENT,PENTHOUSE,690000.0,BUY_REGULAR,2.0,153.0,0,None,0,None,None,None,None,None,2,0,AS_NEW
10276728,Brussels,APARTMENT,PENTHOUSE,690000.0,BUY_REGULAR,2.0,153.0,0,None,0,None,None,None,None,None,2,0,AS_NEW
9492606,Brussel,HOUSE,APARTMENT_BLOCK,790000.0,BUY_REGULAR,4.0,,None,None,0,None,None,None,None,34,1,0,
10293011,Ixelles,APARTMENT,PENTHOUSE,450000.0,BUY_REGULAR,1.0,81.0,None,None,0,None,None,None,None,None,,None,JUST_RENOVATED
10297383,Uccle,APARTMENT,APARTMENT,199000.0,BUY_REGULAR,1.0,61.0,0,None,0,1,7,None,None,None,,None,
10301496,Bruxelles,APARTMENT,APARTMENT,260000.0,BUY_REGULAR,2.0,,None,None,0,1,3,None,None,None,None,0,None
10289110,Haren,HOUSE,HOUSE,429000.0,BUY_REGULAR,4.0,125.0,0,None,0,1,7,1,25,0,2,None,
10292821,Forest,APARTMENT,APARTMENT,310000.0,BUY_REGULAR,2.0,93.0,1,None,0,None,None,None,None,None,2,0,JUST_RENOVATED
10287191,Saint-Josse-ten-Noode,APARTMENT,APARTMENT,150000.0,PUBLIC_SALE,2.0,,0,None,0,1,None,None,None,None,None,None,None
10294910,Forest,APARTMENT,APARTMENT,195000.0,BUY_REGULAR,1.0,58.0,None,None,0,None,None,None,None,None,2,None,GOOD
10285069,Koekelberg,APARTMENT,APARTMENT,210000.0,BUY_REGULAR,1.0,85.0,0,None,0,1,9,None,None,None,2,None,
10282928,Brussels,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,None,None,0,None,None,None,None,None,None,None,None
10281125,Watermael-Boitsfort,APARTMENT,APARTMENT,375000.0,BUY_REGULAR,3.0,105.0,0,None,0,1,16,None,None,None,2,None,GOOD
10281090,Uccle,APARTMENT,APARTMENT,299000.0,BUY_REGULAR,1.0,70.0,0,None,0,1,25,1,35,None,3,0,TO_BE_DONE_UP
10278708,Evere,HOUSE,HOUSE,425000.0,BUY_REGULAR,4.0,149.0,None,None,0,1,None,1,85,0,2,None,
10299502,Forest,APARTMENT,APARTMENT,340000.0,BUY_REGULAR,2.0,,0,None,0,1,7,None,None,None,1,0,GOOD
